imagen,denoise_strength_optimo
10_Color,8.824772355846583e-05
10_Sepia,0.0008901782601223873
11_BN,0.0026681118979445056
11_Color,0.003232494785805777
11_Sepia,0.008479469042073673
12_Color,0.001305934197857921
12_Sepia,0.49429392408682044
13_BN,0.0032995254462387935
13_Color,0.502793665953774
13_Sepia,0.0012722927410265816
14_Color,0.00623718431179192
15_Color,0.004418459753847248
15_Sepia,0.46636536833034536
16_Color,0.5031620818768904
16_Sepia,0.004696618305519007
17_Color,0.012589182323078376
17_Sepia,0.4748158461790588
18_BN,0.36662913495581506
18_Color,0.012604611415399362
19_Color,5.266341327959945e-05
1_BN,0.013767483361277484
1_Color,0.0005292301884716258
1_Sepia,0.00655578648537308
20_BN,0.5509478797307497
20_Color,0.0041008036417676304
21_Color,2.1392455237294328e-05
21_Sepia,0.4948881617803271
22_BN,0.004263795615436782
22_Color,0.4498005679163589
23_BN,0.008442151526590794
23_Color,0.0038879870972955166
23_Sepia,0.006392898935213284
25_Color,0.011158459493278677
26_BN,0.010050982298195689
26_Color,0.003149970499013964
27_BN,0.009855752039575933
27_Color,0.5741607530959523
28_BN,0.0051942173404752046
28_Color,0.22018326634706506
29_BN,0.3086226763303873
29_Color,0.19281516847847424
29_Sepia,0.23666814607421427
2_Color,0.008717469840172375
30_BN,0.2957438905877171
30_Color,0.005158312571582169
31_BN,0.003945264697264316
32_BN,0.00578719919860976
33_BN,0.4007730920805389
34_BN,0.003653625390788017
34_Sepia,0.36493127274578574
35_BN,0.0029093771328559254
35_Sepia,0.30197912027165574
36_BN,0.001920497346240507
36_Sepia,0.35507319500516327
37_BN,0.02576384668166841
37_Color,0.008149671484271676
38_BN,0.10785046757742964
38_Color,0.0015496485800685494
39_BN,0.006700944714304904
39_Color,0.0967913604268889
3_BN,0.0026650034148732963
3_Color,0.3630222354078274
3_Sepia,0.42341084388167793
40_BN,0.14960327185400102
40_Color,0.08979235434038949
40_Sepia,0.019020836060914703
41_Color,0.0031549727410925543
41_Sepia,0.0002511735326031772
42_BN,4.330448155901584e-05
42_Color,0.5
42_Sepia,0.5
43_Color,0.527311216891563
43_Sepia,0.0035504117432788363
44_BN,0.016386980113724303
44_Color,0.00027476337378320743
45_BN,0.3074936385986171
45_Color,0.006378649476908142
45_Sepia,0.01027533990712308
46_BN,0.39544285048373307
47_BN,0.5
47_Color,0.4388187892074106
48_Color,0.4408684256296953
48_Sepia,0.0005564882342369293
49_BN,0.45230721289479936
49_Color,0.010353412781295646
49_Sepia,0.004906054199256438
4_Color,0.24279489098750898
50_Color,0.452946626433978
5_BN,0.003373186976356364
5_Color,0.0027354533487738038
5_Sepia,0.005528049046463895
6_BN,0.008972467422879389
6_Color,0.0011984091429190283
7_BN,0.004283371042370569
7_Color,0.00018048058968567204
7_Sepia,0.008205116933111788
8_BN,0.08929119835785004
8_Color,0.0017905321836282017
9_Color,0.02072403593286249
9_Sepia,0.002282187767402311
